FID,SUBNAME,SUBSTATION,MIN_KV,MAX_KV,NUMBANKS,REDACTED,OBJECTID,UNGROUNDED
550,FORT ROSS,4285,12.000000000000000,60.000000000000000,1.000000000000000,No,161654,None
551,WILLOW PASS,1391,12.000000000000000,115.000000000000000,2.000000000000000,No,161655,1
552,RINCON,4332,12.000000000000000,115.000000000000000,3.000000000000000,No,161656,None
553,PETALUMA C,4263,4.000000000000000,60.000000000000000,4.000000000000000,Yes,161658,"2,3,4"
554,FAIRVIEW,1343,21.000000000000000,115.000000000000000,1.000000000000000,Yes,161659,None
555,VALLEJO C,4255,4.000000000000000,12.000000000000000,1.000000000000000,No,161660,None
556,JUDAH,2240,4.330000000000000,12.000000000000000,2.000000000000000,No,161801,None
557,ESQUON,10217,12.000000000000000,60.000000000000000,2.000000000000000,Yes,161798,1
558,WARD,1298,4.160000000000000,12.000000000000000,1.000000000000000,No,49020,None
559,ANITA,10284,12.000000000000000,60.000000000000000,2.000000000000000,Yes,161799,"1,2"
560,RESEARCH,1469,21.000000000000000,230.000000000000000,1.000000000000000,No,49041,None
561,NOTRE DAME,10204,12.000000000000000,115.000000000000000,2.000000000000000,No,161800,None
562,NORIEGA,2251,4.000000000000000,12.000000000000000,2.000000000000000,No,161802,None
563,OCEAN,2258,4.000000000000000,12.000000000000000,2.000000000000000,No,161804,None
564,FITCH MOUNTAIN,4275,12.000000000000000,60.000000000000000,2.000000000000000,Yes,161634,"1,2"
565,SCE REFUGIO,18807,12.000000000000000,60.000000000000000,1.000000000000000,Yes,49002,None
566,BERKELEY F,1206,4.000000000000000,12.000000000000000,2.000000000000000,Yes,161847,None
567,SF K,2213,4.000000000000000,12.000000000000000,5.000000000000000,Yes,161807,None
568,VALLEJO B,4245,4.000000000000000,24.000000000000000,3.000000000000000,No,161535,None
569,TASSAJARA,1466,21.000000000000000,230.000000000000000,3.000000000000000,No,161635,None
570,RICHMOND Q,1252,4.000000000000000,12.000000000000000,2.000000000000000,Yes,161839,None
571,OPAL CLIFFS,8345,4.000000000000000,12.000000000000000,2.000000000000000,No,65491,None
572,DESCHUTES,10335,12.000000000000000,60.000000000000000,2.000000000000000,No,161637,2
573,RIO DELL,19225,12.000000000000000,60.000000000000000,1.000000000000000,No,161638,None
574,WILLITS,4266,12.000000000000000,60.000000000000000,2.000000000000000,Yes,161639,None
575,ANDERSON,10326,12.000000000000000,60.000000000000000,1.000000000000000,No,161640,None
576,CORNING,10333,4.000000000000000,60.000000000000000,3.000000000000000,Yes,161641,2
577,ORTIGA,25431,12.000000000000000,70.000000000000000,1.000000000000000,No,65179,None
578,DAIRYVILLE,10334,12.000000000000000,60.000000000000000,1.000000000000000,No,161642,1
579,BAY MEADOWS,2401,12.000000000000000,115.000000000000000,4.000000000000000,Yes,49101,None
580,NEWBURG,19215,12.000000000000000,60.000000000000000,2.000000000000000,No,161643,2
581,BOGARD,10330,12.000000000000000,60.000000000000000,1.000000000000000,Yes,161645,1
582,PETALUMA A,4212,4.000000000000000,60.000000000000000,1.000000000000000,No,161649,None
583,GLENN,10260,12.000000000000000,60.000000000000000,1.000000000000000,No,161646,None
584,BRENTWOOD,1459,21.000000000000000,230.000000000000000,3.000000000000000,Yes,161647,None
585,PITTSBURG,1216,12.000000000000000,60.000000000000000,1.000000000000000,Yes,161648,1
586,MOLINO,4257,12.000000000000000,60.000000000000000,2.000000000000000,No,161650,"1,2"
587,COTATI,4227,12.000000000000000,60.000000000000000,2.000000000000000,Yes,161651,None
588,STOREY,25461,12.000000000000000,230.000000000000000,2.000000000000000,No,65018,None
589,COPPERMINE,25241,12.000000000000000,70.000000000000000,1.000000000000000,No,65019,None
590,CAMDEN,25230,12.000000000000000,70.000000000000000,2.000000000000000,Yes,65020,2
591,WESTLEY,16267,12.000000000000000,60.000000000000000,2.000000000000000,Yes,65021,"1,2"
592,LAS PALMAS,25492,12.000000000000000,115.000000000000000,1.000000000000000,Yes,65222,None
